condition_id,trial,spike_time_ms
2,0,6.875563569590768
2,9,5.449180141671669
3,0,4.2784941074458445
3,1,3.614121814306305
3,2,3.105083148339875
3,2,22.039005524215288
3,3,3.3963047040788905
3,4,3.4343938641979244
3,5,3.5456859399328655
3,6,3.139845319121945
3,7,3.0542165974540576
3,8,3.2431635885839425
3,8,123.92900901003075
3,9,3.030030394009048
4,0,2.6085001084928763
4,0,21.577442675508873
4,0,75.80910669808797
4,0,93.17717623775488
4,0,110.00731178117817
4,0,127.50769092665901
4,0,145.30243403023624
4,1,2.6897833004117504
4,1,20.147601493542886
4,1,37.359921136300805
4,1,54.07046967737575
4,1,190.68618746479657
4,2,2.6163623309587485
4,2,20.621798324863104
4,2,40.63752896952171
4,2,60.056827439851276
4,2,79.65236217793345
4,2,97.4082300596039
4,2,113.90650821805225
4,2,130.55565826050125
4,3,2.6188030328097565
4,3,23.75445757700213
4,3,39.31406106442959
4,3,55.44502396896692
4,4,2.577387650640069
4,4,57.74824119052592
4,5,2.3628859062987204
4,6,2.649319465108099
4,6,19.3620846305744
4,6,36.289905320501134
4,6,69.10389553816684
4,7,2.648963984066301
4,7,21.08150928425046
4,7,38.4055904768536
4,7,55.64570051298839
4,7,178.7226080843087
4,8,2.603411025770431
4,8,20.506900665575277
4,8,40.17030960502505
4,9,2.455671631519466
4,9,81.46925823929809
4,9,98.49882960932749
5,0,2.0039275584479093
5,0,73.60887591329586
5,0,88.4899460107275
5,0,104.67519102663908
5,0,121.38034718827382
5,0,138.32319448959691
5,0,153.72941316241858
5,0,170.69692306897795
5,0,186.1496324649087
5,1,2.1519125681269116
5,1,18.212181867601146
5,1,34.59966297436835
5,1,50.791239897228884
5,1,66.51301307172231
5,1,84.00985720593921
5,1,99.17151827267593
5,1,114.71158457646433
5,1,130.88884421002166
5,1,147.30277328593604
5,2,2.3159878412760304
5,2,18.217723945866922
5,2,34.71329006470589
5,2,52.10245627985499
5,2,68.41317804975414
5,2,82.83528880533765
5,2,97.77967220501726
5,2,117.20307683508986
5,2,132.2853811167682
5,2,150.23920044084778
5,2,165.77987782972838
5,2,182.63283749309596
5,2,198.6753679843247
5,3,2.2382118463838716
5,3,19.767737199246557
5,3,39.0130813380461
5,3,55.96850339033051
5,3,71.95422785437415
5,3,88.98790094023381
5,3,103.92495201221703
5,3,122.40401796753441
5,3,138.68950260829953
5,3,167.78488063875878
5,4,2.2007330221170944
5,4,18.607041866863977
5,4,34.63389616134693
5,4,63.103760750903895
5,4,78.5607103664879
5,4,94.10354296472255
5,4,156.45417814747876
5,4,172.64793664019953
5,5,2.16189090159938
5,5,18.87236179349672
5,5,33.638475782929135
5,5,50.5760453752028
5,5,65.85172640364985
5,5,82.81855632691138
5,5,98.88080367274678
5,5,147.07601970497882
5,5,163.68032002808172
5,5,180.3428956424254
5,5,196.5493224776487
5,6,2.2389375546643655
5,6,18.35522799426003
5,6,33.641496174752334
5,6,48.49891224203489
5,6,65.02946509945184
5,6,79.97706840939412
5,6,96.64481356841499
5,6,111.6877358533597
5,6,128.07409266142312
5,6,143.8851017936729
5,6,159.8724456720638
5,6,174.74576909028102
5,6,190.01013608740445
5,7,2.1287349636769983
5,7,17.985226500395108
5,7,59.070379972454674
5,7,74.1180651198094
5,7,90.61718618982788
5,7,107.02895855798519
5,7,122.79009956283305
5,7,139.03170969666905
5,7,154.8243166492953
5,7,172.7628069376183
5,7,189.47543963381494
5,8,2.43808659661795
5,8,18.86914282166614
5,8,35.57243896873524
5,8,51.123879575476444
5,8,66.67315164154799
5,8,82.63027070647598
5,8,97.82780534253835
5,8,125.65552282587326
5,8,141.68869598928697
5,8,157.1451809669979
5,8,174.14648563328905
5,8,189.44891116239089
5,9,2.116755188783944
5,9,18.737067097885564
5,9,35.02800091359181
5,9,50.47085840257909
